Tournament_Year,Match_Stage,Team_A,Team_B,Shooter_Team,Shooter_Name,Goalkeeper_Name,Kick_Number,Team_Kick_Number,Score_Before_Kick,Is_Must_Score,Is_Winning_Kick,Shoot_Outcome,Match_Key,Shootout_Length,Is_Goal,Is_Must_Score_Bool,Sudden_Death_Flag
1986,Quarter-finals,Belgium,Spain,Spain,Butragueño,Andoni Zubizarreta,8,4,2-4,No,No,Goal,"(1986, 'Quarter-finals', 'Belgium', 'Spain')",9,True,False,False
1986,Quarter-finals,Belgium,Spain,Belgium,Leo Van Der Elst,Andoni Zubizarreta,9,5,3-4,No,Yes,Goal,"(1986, 'Quarter-finals', 'Belgium', 'Spain')",9,True,False,False
1986,Quarter-finals,Brazil,France,Brazil,Sócrates,Joël Bats,1,1,0-0,No,No,Saved,"(1986, 'Quarter-finals', 'Brazil', 'France')",11,False,False,False
1986,Quarter-finals,Brazil,France,France,Yannick Stopyra,Carlos,2,1,0-0,No,No,Goal,"(1986, 'Quarter-finals', 'Brazil', 'France')",11,True,False,False
1986,Quarter-finals,Brazil,France,Brazil,Alemão,Joël Bats,3,2,0-1,No,No,Goal,"(1986, 'Quarter-finals', 'Brazil', 'France')",11,True,False,False
1986,Quarter-finals,Brazil,France,Brazil,Alemão,Joël Bats,3,2,1-0,No,No,Goal,"(1986, 'Quarter-finals', 'Brazil', 'France')",11,True,False,False
1986,Quarter-finals,Brazil,France,France,Manuel Amoros,Carlos,4,2,1-1,No,No,Goal,"(1986, 'Quarter-finals', 'Brazil', 'France')",11,True,False,False
1986,Quarter-finals,Brazil,France,Brazil,Zico,Joël Bats,5,3,2-1,No,No,Goal,"(1986, 'Quarter-finals', 'Brazil', 'France')",11,True,False,False
1986,Quarter-finals,Brazil,France,France,Bruno Bellone,Carlos,6,3,2-2,No,No,Goal,"(1986, 'Quarter-finals', 'Brazil', 'France')",11,True,False,False
1986,Quarter-finals,Brazil,France,Brazil,Branco,Joël Bats,7,4,3-2,No,No,Goal,"(1986, 'Quarter-finals', 'Brazil', 'France')",11,True,False,False
1986,Quarter-finals,Brazil,France,France,Michel Platini,Carlos,8,4,3-3,No,No,Missed,"(1986, 'Quarter-finals', 'Brazil', 'France')",11,False,False,False
1986,Quarter-finals,Brazil,France,Brazil,Júlio César,Joël Bats,9,5,3-3,No,No,Missed,"(1986, 'Quarter-finals', 'Brazil', 'France')",11,False,False,False
1986,Quarter-finals,Brazil,France,France,Luis Fernández,Carlos,10,5,3-3,No,Yes,Goal,"(1986, 'Quarter-finals', 'Brazil', 'France')",11,True,False,False
1986,Quarter-finals,Germany FR,Mexico,Germany FR,Klaus Allofs,Pablo Larios,1,1,0-0,No,No,Goal,"(1986, 'Quarter-finals', 'Germany FR', 'Mexico')",7,True,False,False
1986,Quarter-finals,Germany FR,Mexico,Mexico,Manuel Negrete,Harald Schumacher,2,1,1-0,No,No,Goal,"(1986, 'Quarter-finals', 'Germany FR', 'Mexico')",7,True,False,False
1986,Quarter-finals,Germany FR,Mexico,Germany FR,Andreas Brehme,Pablo Larios,3,2,1-1,No,No,Goal,"(1986, 'Quarter-finals', 'Germany FR', 'Mexico')",7,True,False,False
1986,Quarter-finals,Germany FR,Mexico,Mexico,Fernando Quirarte,Harald Schumacher,4,2,1-2,No,No,Saved,"(1986, 'Quarter-finals', 'Germany FR', 'Mexico')",7,False,False,False
1986,Quarter-finals,Germany FR,Mexico,Germany FR,Lothar Matthäus,Pablo Larios,5,3,1-2,No,No,Goal,"(1986, 'Quarter-finals', 'Germany FR', 'Mexico')",7,True,False,False
1986,Quarter-finals,Germany FR,Mexico,Mexico,Raúl Servín,Harald Schumacher,6,3,1-3,No,No,Saved,"(1986, 'Quarter-finals', 'Germany FR', 'Mexico')",7,False,False,False
1986,Quarter-finals,Germany FR,Mexico,Germany FR,Pierre Littbarski,Pablo Larios,7,4,1-3,No,Yes,Goal,"(1986, 'Quarter-finals', 'Germany FR', 'Mexico')",7,True,False,False
1990,Round of 16,Republic of Ireland,Romania,Republic of Ireland,Kevin Sheedy,Silviu Lung,1,1,0-0,No,No,Goal,"(1990, 'Round of 16', 'Republic of Ireland', 'Romania')",10,True,False,False
1990,Round of 16,Republic of Ireland,Romania,Romania,Gheorghe Hagi,Pat Bonner,2,1,1-0,No,No,Goal,"(1990, 'Round of 16', 'Republic of Ireland', 'Romania')",10,True,False,False
1990,Round of 16,Republic of Ireland,Romania,Republic of Ireland,Ray Houghton,Silviu Lung,3,2,1-1,No,No,Goal,"(1990, 'Round of 16', 'Republic of Ireland', 'Romania')",10,True,False,False
1990,Round of 16,Republic of Ireland,Romania,Romania,Dănuț Lupu,Pat Bonner,4,2,1-2,No,No,Goal,"(1990, 'Round of 16', 'Republic of Ireland', 'Romania')",10,True,False,False
1990,Round of 16,Republic of Ireland,Romania,Republic of Ireland,Andy Townsend,Silviu Lung,5,3,2-2,No,No,Goal,"(1990, 'Round of 16', 'Republic of Ireland', 'Romania')",10,True,False,False
1990,Round of 16,Republic of Ireland,Romania,Romania,Ioan Sabău,Pat Bonner,6,3,2-3,No,No,Goal,"(1990, 'Round of 16', 'Republic of Ireland', 'Romania')",10,True,False,False
1990,Round of 16,Republic of Ireland,Romania,Republic of Ireland,Tony Cascarino,Silviu Lung,7,4,3-3,No,No,Goal,"(1990, 'Round of 16', 'Republic of Ireland', 'Romania')",10,True,False,False
1990,Round of 16,Republic of Ireland,Romania,Romania,Ioan Lupescu,Pat Bonner,8,4,3-4,No,No,Goal,"(1990, 'Round of 16', 'Republic of Ireland', 'Romania')",10,True,False,False
1990,Round of 16,Republic of Ireland,Romania,Republic of Ireland,David O'Leary,Silviu Lung,9,5,4-4,No,No,Goal,"(1990, 'Round of 16', 'Republic of Ireland', 'Romania')",10,True,False,False
1990,Round of 16,Republic of Ireland,Romania,Romania,Daniel Timofte,Pat Bonner,10,5,4-5,Yes,Yes,Saved,"(1990, 'Round of 16', 'Republic of Ireland', 'Romania')",10,False,True,False
1990,Quarter-finals,Argentina,Yugoslavia,Argentina,José Serrizuela,Tomislav Ivković,1,1,0-0,No,No,Goal,"(1990, 'Quarter-finals', 'Argentina', 'Yugoslavia')",10,True,False,False
1990,Quarter-finals,Argentina,Yugoslavia,Yugoslavia,Dragan Stojković,Sergio Goycochea,2,1,1-0,No,No,Missed,"(1990, 'Quarter-finals', 'Argentina', 'Yugoslavia')",10,False,False,False
1990,Quarter-finals,Argentina,Yugoslavia,Argentina,Jorge Burruchaga,Tomislav Ivković,3,2,1-0,No,No,Goal,"(1990, 'Quarter-finals', 'Argentina', 'Yugoslavia')",10,True,False,False
1990,Quarter-finals,Argentina,Yugoslavia,Yugoslavia,Robert Prosinečki,Sergio Goycochea,4,2,2-0,No,No,Goal,"(1990, 'Quarter-finals', 'Argentina', 'Yugoslavia')",10,True,False,False
1990,Quarter-finals,Argentina,Yugoslavia,Argentina,Diego Maradona,Tomislav Ivković,5,3,1-2,No,No,Saved,"(1990, 'Quarter-finals', 'Argentina', 'Yugoslavia')",10,False,False,False
1990,Quarter-finals,Argentina,Yugoslavia,Yugoslavia,Dejan Savićević,Sergio Goycochea,6,3,1-2,No,No,Goal,"(1990, 'Quarter-finals', 'Argentina', 'Yugoslavia')",10,True,False,False
1990,Quarter-finals,Argentina,Yugoslavia,Argentina,Pedro Troglio,Tomislav Ivković,7,4,2-2,No,No,Missed,"(1990, 'Quarter-finals', 'Argentina', 'Yugoslavia')",10,False,False,False
1990,Quarter-finals,Argentina,Yugoslavia,Yugoslavia,Dragoljub Brnović,Sergio Goycochea,8,4,2-2,No,No,Saved,"(1990, 'Quarter-finals', 'Argentina', 'Yugoslavia')",10,False,False,False
1990,Quarter-finals,Argentina,Yugoslavia,Argentina,Gustavo Dezotti,Tomislav Ivković,9,5,2-2,No,No,Goal,"(1990, 'Quarter-finals', 'Argentina', 'Yugoslavia')",10,True,False,False
1990,Quarter-finals,Argentina,Yugoslavia,Yugoslavia,Faruk Hadžibegić,Sergio Goycochea,10,5,2-3,Yes,Yes,Saved,"(1990, 'Quarter-finals', 'Argentina', 'Yugoslavia')",10,False,True,False
1990,Semi-finals,Argentina,Italy,Italy,Franco Baresi,Sergio Goycochea,1,1,0-0,No,No,Goal,"(1990, 'Semi-finals', 'Argentina', 'Italy')",9,True,False,False
1990,Semi-finals,Argentina,Italy,Argentina,José Serrizuela,Walter Zenga,2,1,0-1,No,No,Goal,"(1990, 'Semi-finals', 'Argentina', 'Italy')",9,True,False,False
1990,Semi-finals,Argentina,Italy,Italy,Roberto Baggio,Sergio Goycochea,3,2,1-1,No,No,Goal,"(1990, 'Semi-finals', 'Argentina', 'Italy')",9,True,False,False
1990,Semi-finals,Argentina,Italy,Argentina,Jorge Burruchaga,Walter Zenga,4,2,2-1,No,No,Goal,"(1990, 'Semi-finals', 'Argentina', 'Italy')",9,True,False,False
1990,Semi-finals,Argentina,Italy,Italy,Luigi De Agostini,Sergio Goycochea,5,3,2-2,No,No,Goal,"(1990, 'Semi-finals', 'Argentina', 'Italy')",9,True,False,False
1990,Semi-finals,Argentina,Italy,Argentina,Julio Olarticoechea,Walter Zenga,6,3,3-2,No,No,Goal,"(1990, 'Semi-finals', 'Argentina', 'Italy')",9,True,False,False
1990,Semi-finals,Argentina,Italy,Italy,Roberto Donadoni,Sergio Goycochea,7,4,3-3,No,No,Saved,"(1990, 'Semi-finals', 'Argentina', 'Italy')",9,False,False,False
1990,Semi-finals,Argentina,Italy,Argentina,Diego Maradona,Walter Zenga,8,4,3-3,No,No,Goal,"(1990, 'Semi-finals', 'Argentina', 'Italy')",9,True,False,False
1990,Semi-finals,Argentina,Italy,Italy,Aldo Serena,Sergio Goycochea,9,5,4-3,Yes,Yes,Saved,"(1990, 'Semi-finals', 'Argentina', 'Italy')",9,False,True,False
1990,Semi-finals,Germany FR,England,Germany FR,Andreas Brehme,Peter Shilton,1,1,0-0,No,No,Goal,"(1990, 'Semi-finals', 'Germany FR', 'England')",9,True,False,False
1990,Semi-finals,Germany FR,England,England,Gary Lineker,Bodo Illgner,2,1,1-0,No,No,Goal,"(1990, 'Semi-finals', 'Germany FR', 'England')",9,True,False,False
1990,Semi-finals,Germany FR,England,Germany FR,Lothar Matthäus,Peter Shilton,3,2,1-1,No,No,Goal,"(1990, 'Semi-finals', 'Germany FR', 'England')",9,True,False,False
1990,Semi-finals,Germany FR,England,England,Peter Beardsley,Bodo Illgner,4,2,1-2,No,No,Goal,"(1990, 'Semi-finals', 'Germany FR', 'England')",9,True,False,False
1990,Semi-finals,Germany FR,England,Germany FR,Karl-Heinz Riedle,Peter Shilton,5,3,2-2,No,No,Goal,"(1990, 'Semi-finals', 'Germany FR', 'England')",9,True,False,False
1990,Semi-finals,Germany FR,England,England,David Platt,Bodo Illgner,6,3,2-3,No,No,Goal,"(1990, 'Semi-finals', 'Germany FR', 'England')",9,True,False,False
1990,Semi-finals,Germany FR,England,Germany FR,Olaf Thon,Peter Shilton,7,4,3-3,No,No,Goal,"(1990, 'Semi-finals', 'Germany FR', 'England')",9,True,False,False
1990,Semi-finals,Germany FR,England,England,Stuart Pearce,Bodo Illgner,8,4,3-4,No,No,Saved,"(1990, 'Semi-finals', 'Germany FR', 'England')",9,False,False,False
1990,Semi-finals,Germany FR,England,England,Chris Waddle,Bodo Illgner,9,5,3-4,Yes,Yes,Missed,"(1990, 'Semi-finals', 'Germany FR', 'England')",9,False,True,False
1994,Round of 16,Mexico,Bulgaria,Bulgaria,Krasimir Balakov,Jorge Campos,1,1,0-0,No,No,Saved,"(1994, 'Round of 16', 'Mexico', 'Bulgaria')",8,False,False,False
1994,Round of 16,Mexico,Bulgaria,Mexico,Alberto García Aspe,Borislav Mihaylov,2,1,0-0,No,No,Missed,"(1994, 'Round of 16', 'Mexico', 'Bulgaria')",8,False,False,False
1994,Round of 16,Mexico,Bulgaria,Bulgaria,Boncho Genchev,Jorge Campos,3,2,0-0,No,No,Goal,"(1994, 'Round of 16', 'Mexico', 'Bulgaria')",8,True,False,False
1994,Round of 16,Mexico,Bulgaria,Mexico,Marcelino Bernal,Borislav Mihaylov,4,2,0-1,No,No,Saved,"(1994, 'Round of 16', 'Mexico', 'Bulgaria')",8,False,False,False
1994,Round of 16,Mexico,Bulgaria,Bulgaria,Daniel Borimirov,Jorge Campos,5,3,0-1,No,No,Goal,"(1994, 'Round of 16', 'Mexico', 'Bulgaria')",8,True,False,False
1994,Round of 16,Mexico,Bulgaria,Mexico,Jorge Rodríguez,Borislav Mihaylov,6,3,0-2,No,No,Saved,"(1994, 'Round of 16', 'Mexico', 'Bulgaria')",8,False,False,False
1994,Round of 16,Mexico,Bulgaria,Bulgaria,Yordan Letchkov,Jorge Campos,7,4,0-2,No,Yes,Goal,"(1994, 'Round of 16', 'Mexico', 'Bulgaria')",8,True,False,False
1994,Round of 16,Mexico,Bulgaria,Mexico,Claudio Suárez,Borislav Mihaylov,8,4,2-1,Yes,No,Goal,"(1994, 'Round of 16', 'Mexico', 'Bulgaria')",8,True,True,False
1994,Quarter-finals,Romania,Sweden,Sweden,Håkan Mild,Florian Prunea,1,1,0-0,No,No,Missed,"(1994, 'Quarter-finals', 'Romania', 'Sweden')",12,False,False,False
1994,Quarter-finals,Romania,Sweden,Romania,Radu Răducioiu,Thomas Ravelli,2,1,0-0,No,No,Goal,"(1994, 'Quarter-finals', 'Romania', 'Sweden')",12,True,False,False
1994,Quarter-finals,Romania,Sweden,Sweden,Kennet Andersson,Florian Prunea,3,2,0-1,No,No,Goal,"(1994, 'Quarter-finals', 'Romania', 'Sweden')",12,True,False,False
1994,Quarter-finals,Romania,Sweden,Romania,Gheorghe Hagi,Thomas Ravelli,4,2,1-1,No,No,Goal,"(1994, 'Quarter-finals', 'Romania', 'Sweden')",12,True,False,False
1994,Quarter-finals,Romania,Sweden,Sweden,Tomas Brolin,Florian Prunea,5,3,2-1,No,No,Goal,"(1994, 'Quarter-finals', 'Romania', 'Sweden')",12,True,False,False
1994,Quarter-finals,Romania,Sweden,Romania,Ioan Lupescu,Thomas Ravelli,6,3,2-2,No,No,Goal,"(1994, 'Quarter-finals', 'Romania', 'Sweden')",12,True,False,False
1994,Quarter-finals,Romania,Sweden,Sweden,Klas Ingesson,Florian Prunea,7,4,3-2,No,No,Goal,"(1994, 'Quarter-finals', 'Romania', 'Sweden')",12,True,False,False
1994,Quarter-finals,Romania,Sweden,Romania,Dan Petrescu,Thomas Ravelli,8,4,3-3,No,No,Saved,"(1994, 'Quarter-finals', 'Romania', 'Sweden')",12,False,False,False
1994,Quarter-finals,Romania,Sweden,Sweden,Roland Nilsson,Florian Prunea,9,5,3-3,No,No,Goal,"(1994, 'Quarter-finals', 'Romania', 'Sweden')",12,True,False,False
1994,Quarter-finals,Romania,Sweden,Romania,Ilie Dumitrescu,Thomas Ravelli,10,5,3-4,Yes,No,Goal,"(1994, 'Quarter-finals', 'Romania', 'Sweden')",12,True,True,False
1994,Quarter-finals,Romania,Sweden,Sweden,Henrik Larsson,Florian Prunea,11,6,4-4,No,No,Goal,"(1994, 'Quarter-finals', 'Romania', 'Sweden')",12,True,False,True
1994,Quarter-finals,Romania,Sweden,Romania,Miodrag Belodedici,Thomas Ravelli,12,6,5-4,Yes,Yes,Saved,"(1994, 'Quarter-finals', 'Romania', 'Sweden')",12,False,True,True
1994,Final,Brazil,Italy,Italy,Franco Baresi,Taffarel,1,1,0-0,No,No,Missed,"(1994, 'Final', 'Brazil', 'Italy')",9,False,False,False
1994,Final,Brazil,Italy,Brazil,Márcio Santos,Gianluca Pagliuca,2,1,0-0,No,No,Saved,"(1994, 'Final', 'Brazil', 'Italy')",9,False,False,False
1994,Final,Brazil,Italy,Italy,Demetrio Albertini,Taffarel,3,2,0-0,No,No,Goal,"(1994, 'Final', 'Brazil', 'Italy')",9,True,False,False
1994,Final,Brazil,Italy,Brazil,Romário,Gianluca Pagliuca,4,2,0-1,No,No,Goal,"(1994, 'Final', 'Brazil', 'Italy')",9,True,False,False
1994,Final,Brazil,Italy,Italy,Alberico Evani,Taffarel,5,3,1-1,No,No,Goal,"(1994, 'Final', 'Brazil', 'Italy')",9,True,False,False
1994,Final,Brazil,Italy,Brazil,Branco,Gianluca Pagliuca,6,3,2-1,No,No,Goal,"(1994, 'Final', 'Brazil', 'Italy')",9,True,False,False
1994,Final,Brazil,Italy,Italy,Daniele Massaro,Taffarel,7,4,2-2,No,No,Saved,"(1994, 'Final', 'Brazil', 'Italy')",9,False,False,False
1994,Final,Brazil,Italy,Brazil,Dunga,Gianluca Pagliuca,8,4,2-2,No,No,Goal,"(1994, 'Final', 'Brazil', 'Italy')",9,True,False,False
1994,Final,Brazil,Italy,Italy,Roberto Baggio,Taffarel,9,5,3-2,Yes,Yes,Missed,"(1994, 'Final', 'Brazil', 'Italy')",9,False,True,False
1998,Round of 16,Argentina,England,England,Alan Shearer,Carlos Roa,1,1,0-0,No,No,Goal,"(1998, 'Round of 16', 'Argentina', 'England')",9,True,False,False
1998,Round of 16,Argentina,England,Argentina,Sergio Berti,Carlos Roa,2,1,0-1,No,No,Goal,"(1998, 'Round of 16', 'Argentina', 'England')",9,True,False,False
1998,Round of 16,Argentina,England,England,Paul Ince,Carlos Roa,3,2,1-1,No,No,Saved,"(1998, 'Round of 16', 'Argentina', 'England')",9,False,False,False
1998,Round of 16,Argentina,England,Argentina,Hernán Crespo,David Seaman,4,2,1-1,No,No,Saved,"(1998, 'Round of 16', 'Argentina', 'England')",9,False,False,False
1998,Round of 16,Argentina,England,England,Paul Merson,Carlos Roa,5,3,1-1,No,No,Goal,"(1998, 'Round of 16', 'Argentina', 'England')",9,True,False,False
1998,Round of 16,Argentina,England,Argentina,Juan Sebastián Verón,David Seaman,6,3,2-1,No,No,Goal,"(1998, 'Round of 16', 'Argentina', 'England')",9,True,False,False
1998,Round of 16,Argentina,England,England,Michael Owen,Carlos Roa,7,4,2-2,No,No,Goal,"(1998, 'Round of 16', 'Argentina', 'England')",9,True,False,False
1998,Round of 16,Argentina,England,Argentina,Marcelo Gallardo,David Seaman,8,4,3-2,No,No,Goal,"(1998, 'Round of 16', 'Argentina', 'England')",9,True,False,False
1998,Round of 16,Argentina,England,England,David Batty,Carlos Roa,9,5,3-3,Yes,Yes,Saved,"(1998, 'Round of 16', 'Argentina', 'England')",9,False,True,False
1998,Quarter-finals,Italy,France,France,Zinedine Zidane,Gianluca Pagliuca,1,1,0-0,No,No,Goal,"(1998, 'Quarter-finals', 'Italy', 'France')",10,True,False,False
1998,Quarter-finals,Italy,France,Italy,Roberto Baggio,Fabien Barthez,2,1,0-1,No,No,Goal,"(1998, 'Quarter-finals', 'Italy', 'France')",10,True,False,False
1998,Quarter-finals,Italy,France,France,Bixente Lizarazu,Gianluca Pagliuca,3,2,1-1,No,No,Saved,"(1998, 'Quarter-finals', 'Italy', 'France')",10,False,False,False
1998,Quarter-finals,Italy,France,Italy,Demetrio Albertini,Fabien Barthez,4,2,1-1,No,No,Saved,"(1998, 'Quarter-finals', 'Italy', 'France')",10,False,False,False
1998,Quarter-finals,Italy,France,France,David Trezeguet,Gianluca Pagliuca,5,3,1-1,No,No,Goal,"(1998, 'Quarter-finals', 'Italy', 'France')",10,True,False,False
1998,Quarter-finals,Italy,France,Italy,Alessandro Costacurta,Fabien Barthez,6,3,2-1,No,No,Goal,"(1998, 'Quarter-finals', 'Italy', 'France')",10,True,False,False
1998,Quarter-finals,Italy,France,France,Thierry Henry,Gianluca Pagliuca,7,4,2-2,No,No,Goal,"(1998, 'Quarter-finals', 'Italy', 'France')",10,True,False,False
1998,Quarter-finals,Italy,France,Italy,Christian Vieri,Fabien Barthez,8,4,3-2,No,No,Goal,"(1998, 'Quarter-finals', 'Italy', 'France')",10,True,False,False
1998,Quarter-finals,Italy,France,France,Laurent Blanc,Gianluca Pagliuca,9,5,3-3,No,No,Goal,"(1998, 'Quarter-finals', 'Italy', 'France')",10,True,False,False
1998,Quarter-finals,Italy,France,Italy,Luigi Di Biagio,Fabien Barthez,10,5,4-3,Yes,Yes,Missed,"(1998, 'Quarter-finals', 'Italy', 'France')",10,False,True,False
1998,Semi-finals,Brazil,Netherlands,Brazil,Ronaldo,Edwin van der Sar,1,1,0-0,No,No,Goal,"(1998, 'Semi-finals', 'Brazil', 'Netherlands')",8,True,False,False
1998,Semi-finals,Brazil,Netherlands,Netherlands,Frank de Boer,Taffarel,2,1,1-0,No,No,Goal,"(1998, 'Semi-finals', 'Brazil', 'Netherlands')",8,True,False,False
1998,Semi-finals,Brazil,Netherlands,Brazil,Rivaldo,Edwin van der Sar,3,2,1-1,No,No,Goal,"(1998, 'Semi-finals', 'Brazil', 'Netherlands')",8,True,False,False
1998,Semi-finals,Brazil,Netherlands,Netherlands,Dennis Bergkamp,Taffarel,4,2,1-2,No,No,Goal,"(1998, 'Semi-finals', 'Brazil', 'Netherlands')",8,True,False,False
1998,Semi-finals,Brazil,Netherlands,Brazil,Emerson,Edwin van der Sar,5,3,2-2,No,No,Goal,"(1998, 'Semi-finals', 'Brazil', 'Netherlands')",8,True,False,False
1998,Semi-finals,Brazil,Netherlands,Netherlands,Phillip Cocu,Taffarel,6,3,2-3,No,No,Saved,"(1998, 'Semi-finals', 'Brazil', 'Netherlands')",8,False,False,False
1998,Semi-finals,Brazil,Netherlands,Brazil,Dunga,Edwin van der Sar,7,4,2-3,No,No,Goal,"(1998, 'Semi-finals', 'Brazil', 'Netherlands')",8,True,False,False
1998,Semi-finals,Brazil,Netherlands,Netherlands,Ronald de Boer,Taffarel,8,4,2-4,Yes,Yes,Saved,"(1998, 'Semi-finals', 'Brazil', 'Netherlands')",8,False,True,False
2002,Round of 16,Spain,Republic of Ireland,Spain,Robbie Keane,Iker Casillas,1,1,0-0,No,No,Goal,"(2002, 'Round of 16', 'Spain', 'Republic of Ireland')",9,True,False,False
2002,Round of 16,Spain,Republic of Ireland,Republic of Ireland,Ian Harte,Iker Casillas,2,1,1-0,No,No,Saved,"(2002, 'Round of 16', 'Spain', 'Republic of Ireland')",9,False,False,False
2002,Round of 16,Spain,Republic of Ireland,Spain,Rubén Baraja,Shay Given,3,2,1-0,No,No,Goal,"(2002, 'Round of 16', 'Spain', 'Republic of Ireland')",9,True,False,False
2002,Round of 16,Spain,Republic of Ireland,Republic of Ireland,David Connolly,Iker Casillas,4,2,2-0,No,No,Saved,"(2002, 'Round of 16', 'Spain', 'Republic of Ireland')",9,False,False,False
2002,Round of 16,Spain,Republic of Ireland,Spain,Juanfran,Shay Given,5,3,2-0,No,No,Missed,"(2002, 'Round of 16', 'Spain', 'Republic of Ireland')",9,False,False,False
2002,Round of 16,Spain,Republic of Ireland,Republic of Ireland,Kevin Kilbane,Iker Casillas,6,3,2-0,No,No,Saved,"(2002, 'Round of 16', 'Spain', 'Republic of Ireland')",9,False,False,False
2002,Round of 16,Spain,Republic of Ireland,Spain,Juan Carlos Valerón,Shay Given,7,4,2-0,No,No,Missed,"(2002, 'Round of 16', 'Spain', 'Republic of Ireland')",9,False,False,False
2002,Round of 16,Spain,Republic of Ireland,Republic of Ireland,Matt Holland,Iker Casillas,8,4,2-0,No,No,Goal,"(2002, 'Round of 16', 'Spain', 'Republic of Ireland')",9,True,False,False
2002,Round of 16,Spain,Republic of Ireland,Spain,Gaizka Mendieta,Shay Given,9,5,1-2,No,Yes,Goal,"(2002, 'Round of 16', 'Spain', 'Republic of Ireland')",9,True,False,False
2002,Quarter-finals,Spain,Republic of Korea,Spain,Joaquín,Lee Woon-jae,1,1,0-0,No,No,Saved,"(2002, 'Quarter-finals', 'Spain', 'Republic of Korea')",9,False,False,False
2002,Quarter-finals,Spain,Republic of Korea,Republic of Korea,Hwang Sun-hong,Iker Casillas,2,1,0-0,No,No,Goal,"(2002, 'Quarter-finals', 'Spain', 'Republic of Korea')",9,True,False,False
